# Summary
metric;value
Simulation Time;51,50s
Average vehicle Speed in Kmh;24,45
Vehicle Count;7
Amount of stopped vehicles;0
Ratio of stopped Vehicles;0,00
Amount of finieshed trips;0
Average Travel Time in Seconds;0,0
Minimal Travel Time in seconds;0,0
Maximal Travel Time in seconds;0,0

# Per edge metrics
edgeId;vehiclesOnEdge;stoppedVehiclesOnEdge;densityVehiclesPerKm
152445636#0;5;0;36,713
4824568#0;1;0;6,989
314789428#0;1;0;8,660

# Congested edges (stopped share >= 60%, minVehicles = 10)
edgeId
